Variable	MR3	MR5	MR1	MR4	MR2	Complexity	Uniqueness
circles	0.7131359082693344	NA	NA	NA	NA	1.2113037973029996	0.4917951492023205
poverty_supports	0.6185186027887173	NA	NA	NA	NA	1.467469762121628	0.4899610262500108
community_support	0.599728650137548	NA	NA	NA	NA	1.5206953069771791	0.5315314079454354
culturally_relevant	0.5925527561072707	NA	NA	NA	NA	1.052042659765405	0.6168420776241481
immigrants_supports	0.5724355476142221	NA	NA	NA	NA	1.3144460164006202	0.6344748979600662
restorative_practice	0.5616029495104378	NA	NA	NA	NA	1.2408852401519048	0.6027208075357833
sel_plan	0.5474324348376778	NA	NA	NA	NA	1.1813203818264517	0.6070652083501562
mental_health	0.5400561248424242	NA	NA	NA	NA	1.3069393567198837	0.6137550383377773
ell_supports	0.5009928288482132	NA	NA	NA	NA	1.4770756839513004	0.6451591550140465
sel_integrated	0.5001580935802478	NA	NA	NA	NA	1.3207399707905434	0.6584231633563956
measures_sel	0.4724512211919267	NA	NA	NA	NA	2.19096901608557	0.5805242745545062
equity_plan	0.4530685203472355	NA	NA	NA	NA	1.5924628530628564	0.6241370167289833
hiring_practices	0.4512229651848875	NA	NA	NA	NA	2.013161980415611	0.5604806722788522
measures_climate	0.427643144088974	NA	NA	NA	NA	2.1353540980223817	0.6409472812599379
reallocation_resources	0.4241415893671075	NA	NA	NA	NA	1.8723809688974642	0.7121186158692819
physical_health	0.41729961172697483	NA	NA	NA	NA	1.3602821040560806	0.7851170987145268
local_focus	0.38768991385264645	NA	NA	NA	NA	2.162202026064951	0.6514602197761956
sel_curriculum	0.3658581939587413	NA	NA	NA	NA	1.7520337292715125	0.8264094670989334
student_conferences	0.325312509799283	NA	NA	NA	NA	3.2816393016854137	0.6898027271687683
open_hours	0.2967678480120536	NA	NA	NA	NA	2.131559167526908	0.8210223683597417
measures_purpose	0.29466610285921513	NA	NA	NA	NA	2.7671369932964134	0.6631694392387016
design_margins	0.20786814344974225	NA	NA	NA	NA	2.547959586178084	0.9051925170640236
quality_materials	0.16352799149526023	NA	NA	NA	NA	3.0288514084726677	0.8965129285853526
local_global	NA	0.6576176383015898	NA	NA	NA	1.3234551382322244	0.4790168283974009
projects_primary	NA	0.6414056404586131	NA	NA	NA	1.0740613100569285	0.5545508143711059
interdisciplinary	NA	0.6014398928605834	NA	NA	NA	1.2499484076971477	0.5095748774628113
service_learning	NA	0.5833994103329726	NA	NA	NA	1.3037882476795442	0.5920695108919531
design_thinking	NA	0.560356742016533	NA	NA	NA	1.3853434354084695	0.6193153334595269
exhibitions	NA	0.4717793416708082	NA	NA	NA	2.12897248080427	0.548555996230507
real_world	NA	0.4564375279169295	NA	NA	NA	1.8725211244825057	0.5768876181900912
student_projects	NA	0.44130571085660475	NA	NA	NA	1.5651093810824006	0.6600095694838204
flexible_facilities	NA	0.347851573931107	NA	NA	NA	2.4596504474871463	0.6850693057817494
makerspace	NA	0.3471274189322797	NA	NA	NA	1.7235231458021822	0.8574123688641777
flexible_staffing	NA	0.34548979887055875	NA	NA	NA	2.0124788250500054	0.7459445321973859
measures_deeper	NA	0.32498487327301767	NA	NA	NA	2.4802504490741226	0.6745795696891712
oer	NA	0.272604065345804	NA	NA	NA	3.0425455525339853	0.757688106414784
grading_mastery	NA	NA	0.6465101977755272	NA	NA	1.1452623349068554	0.5675950195966268
assessment_schedule	NA	NA	0.6266304799611961	NA	NA	1.13036370417561	0.5427222876031383
performance_assessment	NA	NA	0.5894163818438675	NA	NA	1.2991946185524859	0.5204064870738764
advancement_mastery	NA	NA	0.5762477457532321	NA	NA	1.4152440588144206	0.6414827435472152
competency_framework	NA	NA	0.5366131271546386	NA	NA	1.1080654450817213	0.6936890639245795
portfolios	NA	NA	0.5050340076684294	NA	NA	2.0606419415168458	0.49590358526248657
opportunities_mastery	NA	NA	0.5022663009911892	NA	NA	1.2759751190271786	0.6494072571011431
student_pace	NA	NA	0.41310869639620695	NA	NA	2.030102336188827	0.6834723003158609
student_goals	NA	NA	0.41011004825743613	NA	NA	1.4613632387706386	0.7053610915932368
accommodations	NA	NA	0.34435469764190324	NA	NA	2.7012768985086986	0.6427171879229385
ways_mastery	NA	NA	0.33843839116397567	NA	NA	2.823507074935268	0.6297283622773479
flexible_schedule	NA	NA	0.31146938333822555	NA	NA	2.1010143999507633	0.7587122766666373
relevant_learning	NA	NA	0.3063185510111784	NA	NA	3.2512851818620523	0.6431549172095266
career_prep	NA	NA	NA	0.7489659393824306	NA	1.0815832653794804	0.44815338425421813
graduation_supports	NA	NA	NA	0.6232502135979171	NA	1.4072791370835014	0.4327542624448161
outside_credit	NA	NA	NA	0.6133699847942854	NA	1.1713899945159203	0.5823651241294551
measures_college	NA	NA	NA	0.5793678734071173	NA	1.2761676829085817	0.5460895882808103
community_partnerships	NA	NA	NA	0.4636882991339629	NA	2.265402787486473	0.5222420687902906
devices_home	NA	NA	NA	0.42266701998119605	NA	1.5764162339136183	0.7506492806748846
multi_age	NA	NA	NA	0.39267904572713047	NA	1.7998998974449707	0.7191494787795586
elimination_tracking	NA	NA	NA	0.3755352691757726	NA	2.673028314686196	0.6609136152466695
advisories	NA	NA	NA	0.37130425403469913	NA	3.0838203812165244	0.6102234617176493
measures_career	NA	NA	NA	0.3552339039305297	NA	2.1425388022569765	0.7493696521590082
learning_paths	NA	NA	NA	0.3490696316088831	NA	2.3703486469133233	0.6705559653948078
mentoring	NA	NA	NA	0.3394868035363878	NA	2.2841689811757586	0.7110942907669688
a_la_carte	NA	NA	NA	0.32486456881579634	NA	2.20956583916333	0.8385727392470748
information_formats	NA	NA	NA	0.24663731696351143	NA	3.6149159886249307	0.7311734055532864
enriched_virtual	NA	NA	NA	0.23913980809575597	NA	2.8443354775166774	0.9016663446156425
rigorous_coursework	NA	NA	NA	0.22501287507633602	NA	2.8516210893137095	0.841219349359469
learner_profiles	NA	NA	NA	0.20273912997251303	NA	4.210244806564496	0.7634134808261466
station_rotation	NA	NA	NA	NA	0.6571521828088527	1.4083982900303893	0.5276555902036257
real_time_data	NA	NA	NA	NA	0.5728102702539258	1.2150582062248512	0.616182195397923
lab_rotation	NA	NA	NA	NA	0.549398856652234	1.7663836696001871	0.620894052520893
individual_rotation	NA	NA	NA	NA	0.540221542303365	1.0718873556895914	0.7026586423508063
data_instruction	NA	NA	NA	NA	0.5233360558816381	1.2707056896948994	0.6609253835313742
integrated_data	NA	NA	NA	NA	0.48396562332080884	1.819560624034036	0.6318935669706345
flipped_classroom	NA	NA	NA	NA	0.41047440028788096	2.092775098802864	0.7878734526635132
flex	NA	NA	NA	NA	0.3469541701739618	1.2272201218289938	0.8476074568718921
adaptive_content	NA	NA	NA	NA	0.297763406958128	2.348512742604367	0.8011584777356834
student_data	NA	NA	NA	NA	0.28692519681006623	3.4294234216117854	0.7314808781518487
