Variable	MR2	MR1	MR4	MR5	MR6	MR3	Complexity	Uniqueness
projects_primary	0.7566975366394716	0.09668885523337091	-0.05796181747493867	0.06623892621059853	-0.08582753479154043	0.055211493384927514	1.0977922143061158	0.38634778202939735
exhibitions	0.7149441558076566	0.09181745231711716	0.00786347260616889	-0.13482425442943957	0.184039008477446	-0.0442847676189983	1.2520657478540833	0.39338658976562146
service_learning	0.6641875222769993	0.11058098586152457	-0.08301117338867603	0.09598579849957455	-0.15006864462857766	0.10690142973614968	1.2961661241406757	0.49922639749695186
interdisciplinary	0.6185958921190053	0.1542208992680077	0.16992992625997672	-0.06915178047811628	0.1519590233437535	-0.05363469760093874	1.4638302429198002	0.43443236238154315
experiential	0.5887042395906463	-0.1159287715871399	-0.08159653937943406	0.2406990795458644	-0.09423496111628858	-0.21951650016403135	1.8399593738410343	0.524315978917319
pbl	0.5711288204625619	0.012771691250807307	-0.012648028520747473	0.3327892750180913	-0.14721733305378312	-0.08400482317157376	1.8219494007538464	0.506033751779507
maker	0.5419486917491821	-0.006066317278105471	-0.16456324515859913	0.09449466919694974	0.17050422226791548	0.15106693632590645	1.6468724712975114	0.645846371745261
design_thinking	0.5362296572249365	0.004558402719202097	0.18502878265878797	0.004105454985365193	-0.004770316005203654	0.2778412585979862	1.772909080238792	0.61125485983127
portfolios	0.4980791549485456	0.08160147940891535	0.393950626400426	-0.03074064490106393	-0.17532725726442766	-0.30825772415138425	3.0108409901689446	0.4189200351741402
real_world	0.49726408712719844	0.14010637819079844	0.23987147998853103	-0.09751870291103726	-0.0073682700947978325	-0.023949518395377716	1.7240428089160054	0.6201665988218779
oer	0.4896470095359977	0.02924104331327748	-0.0576553449158818	-0.07032736070110195	0.18769382660423187	0.3725030666063036	2.2921255670864733	0.6276299825172327
student_projects	0.47382660094008827	0.02903209916443511	0.09220189955254715	-0.04498070091829941	0.38884414788576804	-0.05848724039395489	2.078775151949087	0.5468788512564664
student_conferences	0.4658929236690478	0.2652904684023336	0.0368731944967004	0.05296940473615867	-0.0522415047856835	-0.19402407767546254	2.0599167669147858	0.5762755175348291
ways_mastery	0.4401915723953117	-0.10812440734155243	0.318418387480648	-0.02125623799398616	0.04685487194031983	-0.1039505728412911	2.133605090662118	0.6699419789264729
local_global	0.4263209448906497	0.2575151194380515	-0.04030582482307975	-0.16111452707744922	0.275824743716381	-0.17038608624382034	3.2405651135315523	0.5575563813123092
community_partnerships	0.38986077175778383	-0.016498724880032678	-0.059329096073731075	0.17125106165132592	0.2541140963870016	0.08535174315808944	2.341871570144234	0.723385085533939
measures_deeper	0.3122443382502612	0.2184245784708915	-0.09160781766371877	0.21147114725906957	-0.03305962804622966	-0.06657090229198322	2.995176393949584	0.7434133773504619
measures_climate	0.17563353167211193	0.7551238327307673	-0.09428985665973835	0.15802504479855325	-0.0651710412089459	-0.1072368228599734	1.294921534122559	0.2671517954166337
measures_sel	0.17563353167211182	0.7551238327307672	-0.09428985665973827	0.15802504479855342	-0.0651710412089459	-0.10723682285997346	1.2949215341225595	0.2671517954166338
sel_plan	0.060995992670818885	0.6608181812507254	0.04552752705643451	0.04798073791750223	0.04388765363436531	0.07360948964261865	1.071647423895466	0.48740546826824327
mental_health	0.02531542397122164	0.5845774892890354	0.16811662923821846	-0.06413174187932895	0.1849201650349589	0.22008449037689437	1.7273067268558306	0.4733147202873291
poverty_supports	-0.1126238859869271	0.5757486284159504	0.22664993479835954	0.07179887655589579	0.09653437073007404	0.2150314729969532	1.811180300041753	0.4731617906715777
restorative_practice	0.034148733022975185	0.5516051584973839	0.03454674283611854	0.044225290181462644	0.22099179667894292	-0.017140491672784742	1.3473588798610407	0.5548134245071912
sel	0.16946473303154821	0.5466729507119582	-0.1727479704493059	0.056607303111013134	0.03822363420134868	-0.14830781629874495	1.6117310109424339	0.5760944701780863
sel_integrated	0.06148371002559547	0.49164176530118575	0.13962338258628107	-0.08803539680779131	0.2094788552983576	-0.09460613744576754	1.7409141499306915	0.6114377160979465
hiring_practices	0.016010521147509407	0.46977128829630277	0.3865435116281923	0.015454563770505924	-0.014530029713305442	0.18035352395019477	2.256757691582975	0.5287437426295143
reallocation_resources	-0.16074346636078887	0.45938753649366787	0.19679578127736658	0.04257626623995265	0.27020875725614923	0.3067896651781067	3.2452295358284178	0.47461872304035524
wraparound	-0.3975979996227641	0.4223858839356327	0.04962787443221152	0.22782840528475481	0.2769057366003941	-0.13562638920901296	3.591979938417349	0.5198438385689748
advisories	0.32644009682884256	0.41853773358161805	-0.25187400274638977	0.08541535747813651	-0.008521098162683888	-0.03662533934592023	2.715365758804683	0.6111201477113395
grading_mastery	0.2650673681799541	0.3776409762970528	0.3454367329067928	-0.04787432951604856	-0.0317497884217777	-0.18117502159231558	3.3416559168794966	0.5413513587965376
culturally_relevant	0.22526769725787243	0.3362715594528642	0.09154169929914287	0.11196666617485175	0.20603748888375367	-0.023733243432196887	2.9825976278582833	0.6373254562687689
local_focus	0.27563095387091524	0.293931563474082	0.28349214140425055	-0.12018329694768709	0.07995254097733061	-0.22220060847496645	4.375567676718702	0.6094116945814676
ell_supports	-0.040520562437557944	0.2932313573912361	0.25997567300518204	-0.08594757024699942	0.10505256451778536	0.18253159870354466	3.2323402933448393	0.7726556389532305
equity_plan	0.2775204306767821	0.28889975380822336	0.28429111739309243	0.14465336969369985	-0.029322183723779302	-0.18317743179866552	4.191393479199721	0.5764535452989061
advancement_mastery	-0.1345313586438826	-0.10127597424123444	0.751264223166666	0.026830507934365484	-0.0954681221294974	0.04126093316196228	1.1444914567046052	0.4516169253602249
accommodations	-0.09181499907716413	0.25593905715776727	0.6209509625860097	0.07634780269263146	0.0280806407099832	0.18412758886785252	1.621311571604513	0.42466607659131106
relevant_learning	0.2942466209650077	0.16750724968984992	0.48221217649912684	0.030464471344421186	-0.10745256825178126	0.10496703795151259	2.1944119524514893	0.5772319511440808
adaptive_content	0.05050493411733138	-0.03246058932210834	0.47987116413215325	0.14237387325568415	0.09004902280125078	0.127589679679351	1.4427131508290696	0.6721975293291234
learning_paths	-0.0976349362110348	-0.12405003767246235	0.4783458472137917	0.24636858209934925	0.37482324572274334	-0.13237837124244584	2.9210729104825353	0.4538977516877579
student_pace	0.15030298262740494	-0.4024194716703821	0.47736866172772097	0.1954628553843921	0.36017438164507476	-0.10231880991559685	3.5962272554994374	0.43494354557291137
information_formats	0.0376261451600117	0.010525077556355011	0.466486997564784	0.15829008652111654	-0.05773769457679557	0.19429930386324018	1.6467655588715504	0.689064448569239
opportunities_mastery	0.19231053034164175	0.14958301030394083	0.46327307137608453	0.013630572609175325	0.04433806542298124	0.1948593415697989	1.9981152119165355	0.6158516131367291
performance_assessment	0.25710703278518765	0.15327592871792822	0.4530834542383207	-0.16113672504017268	-0.04715341497562375	-0.11651977487797956	2.364673977525571	0.6519859782345181
student_goals	0.26793395601381653	-0.08198769278216733	0.43880386080290257	-0.047542115824241366	0.15849370151492032	0.03482423298904825	2.0924885215229865	0.6782185648423743
assessment_schedule	0.02727152496689039	0.06186111133714816	0.43870530477346864	0.20205246880369862	0.2648440687624562	-0.18794299891872016	2.625692260613331	0.5331812146378656
learner_agency	0.056988801169554515	-0.007841968819895781	0.3736596439227207	0.18572778074320098	0.03480548907307043	-0.004919030477761507	1.5423119550673905	0.783077633843814
udl	0.13359984927296567	-0.09597015328241479	0.36968028657956875	0.033464174741895794	0.29636987887300087	-0.33394374176233643	3.380800969369109	0.5888728231764325
competency_framework	-0.19106348956718544	0.3071157873492534	0.33904997736578774	0.18851036346856512	-0.08174910601799554	0.08531343370347792	3.5151158731849845	0.6895538717232587
learner_profiles	-0.051502295896455844	0.01649772880141541	0.30126397589318804	0.2823899283794404	0.04240239867495811	0.07155482166325179	2.2227054403558784	0.779874769116133
rigorous_coursework	0.05241590954593976	0.12299080850131297	0.2824366312270368	0.05730872268645983	0.1775390969803263	0.19045136789163403	3.1914643168589047	0.7675750221661286
quality_materials	0.15193763492378598	0.0797572493578467	0.25226647140851743	-0.03715201975532424	0.2095844498857865	0.19946021286050422	3.901288026121461	0.7811267458097169
career_prep	-0.009637549462874415	0.08756949414323811	0.1337283305801124	0.724830741302075	-0.26987317846659536	-0.002696511384034622	1.3815961475548755	0.4048084922361521
measures_college	-0.017625546251935922	0.05617077469138135	0.021985839763813353	0.6982569780028076	0.0895021863564209	0.1558931034369962	1.1510613005300327	0.4240995220053104
measures_career	0.08681707423965718	0.0245094766222832	-0.07876086721061225	0.616249440491879	0.13692530332655972	0.08244939603808166	1.2169345582741993	0.5487464575515695
graduation_supports	-0.04996139036496122	0.1403859567472317	0.10540131921645954	0.5641483321685165	0.18202426039202385	0.08726055742558038	1.494855945073109	0.4955479327057942
outside_credit	0.16963840567965002	-0.020617800861826317	0.07911534936320017	0.5251923506036646	0.022265578611283685	-0.132146663161747	1.4032244691810802	0.6305230230829035
mentoring	-0.05977666212568902	0.33233560919543204	-0.0835625055554649	0.4502650866289802	-0.016332592107895692	0.20392832435029196	2.4260949903263307	0.5958683450517439
elimination_tracking	0.08805644273641157	0.13818275012233946	0.07316407767848904	0.44100397113096257	0.055830086026251294	-0.015548999234433572	1.3821932351876032	0.6925242721123296
redefining_success	-0.0432624929187853	0.27236765008850294	-0.13934590254224596	0.4254718246932352	0.11878969324849459	-0.3965716367879824	3.1546686455063453	0.5159974538273098
flex	0.07663344820467952	-0.1130977922873927	-0.08763766858673273	0.4158722807194447	0.16568834168316401	0.26138436069115817	2.4463270087101034	0.7268654080003558
equity	-0.18977851025945014	0.1506853626412948	-0.0167723373230219	0.40056236237532744	0.3779799756470738	-0.17474878074550934	3.1561378567837526	0.5562538937903715
competency_education	0.11740271751929107	-0.01857859903784962	0.11234441024107655	0.3971119227065217	-0.004020411890861782	-0.09146244253133726	1.470386031772053	0.7824040393089533
measures_purpose	0.11712133589628301	0.07617194453825811	0.39021002845088426	0.39060277046016334	0.2119613454171083	-0.2893193573701526	3.683379827078471	0.36778480539587366
student_data	0.0387674997197008	-0.21949399178457882	0.1863281243205237	0.2439776546675118	-0.038822252634725135	0.08019178170942026	3.2410642784560015	0.8741722480822592
multi_age	0.18510668726387414	0.028677414548848083	0.11126421391947262	0.18919996778755518	0.1079148500403952	-0.1530779084868915	4.2514588493801675	0.831752992450977
immigrants_supports	-0.16277153398874217	0.13951670060534754	0.24253566047206732	-0.1659249111067117	0.6247460934367564	-0.0476783299444334	1.7476992556773265	0.46126881672203246
physical_health	-0.057717613331749865	0.1894023126544671	-0.018119609935377007	0.1722194138849587	0.5698331403388132	0.09057381685084967	1.5015488943851922	0.5208158220133507
flexible_staffing	0.27755789565979844	-0.04273581040790747	-0.12333475204920648	0.12631750169544703	0.5594982539376121	0.11773372019573365	1.8249749082478468	0.5714656122954052
