Variable	MR3	MR1	MR5	MR4	MR2	MR6	Complexity	Uniqueness
circles	0.6330422394059964	0.18661008805133136	-0.09792320647845558	-0.09182134891729984	-0.08625029463511269	0.13530040481119335	1.4151112076622088	0.5034562522366948
community_support	0.6240098376446066	-0.014608306372203561	0.21375736586190702	-0.12841227106954595	0.10287106415274087	-0.014341454811072005	1.3885759894894876	0.5041042069872617
poverty_supports	0.6128839473863447	-0.09509208564922554	0.09934952318025304	0.1827416800263496	0.06967267225994578	0.06155411310674702	1.3382204193789995	0.4890410836539094
immigrants_supports	0.575844884415144	-0.08263811061522841	0.12320787812899624	0.12406369949397969	-0.0803125153397646	-0.004253283630191118	1.2756502449855245	0.617500384633377
culturally_relevant	0.5495435832359379	0.13657395136001207	0.014114910663321323	-0.042474074199081197	-0.02167075908688116	0.12484549211016764	1.2497585046801571	0.6015770002606164
ell_supports	0.5299672967644913	0.017360897318797745	0.05565693078604371	0.06206434262446407	0.1804314258246682	-0.08086860033546418	1.3381343294587693	0.6246789187878359
mental_health	0.49278140712099505	0.004027906525404805	0.19870320825920157	-0.02649576797773666	0.05760437121957769	0.09889118156767622	1.4462875342045505	0.6278133102446868
hiring_practices	0.448250104972646	0.04382729308270067	0.1505220561879006	0.24129283577648472	0.14069625811945657	-0.0030460843465090204	2.062468142031267	0.5633617705625887
equity_plan	0.43684110139426746	0.14912577957028478	0.08388082487923468	0.2179028988266773	-0.02870997434387195	0.055935910674967115	1.879752928369513	0.61349863136681
restorative_practice	0.4252526096398792	0.13517417982891725	0.006342005983454001	0.017948361803395513	-0.0270232100675609	0.3016467113075257	2.0523018413916208	0.6022831624555235
reallocation_resources	0.41350305198932935	-0.06725610514273818	-0.017571102338204407	0.21349376745403442	0.11825524453729065	0.107226504186189	1.9250100827900472	0.6981023124331502
sel_integrated	0.39622563264862815	0.16019581370879488	-0.007206256777651944	-0.058052754737015114	0.04902001844002583	0.30131114878939536	2.3235762277808005	0.627406479228618
physical_health	0.39002517500778644	-0.011524188307829442	0.0944438458474367	-0.07536183875426611	0.13522906984753716	0.0464347144453839	1.486958824851374	0.7840043278146992
open_hours	0.2607733266462751	0.03523488868843379	0.20026307527486414	-0.1224173735331501	0.14063300004869472	0.1271302537414397	3.6123040647651155	0.7984313683190923
sel_curriculum	0.2563557864890464	0.13666865733683975	-0.11795021955353946	-0.06652278098059428	0.08027061884536897	0.23706079154364507	3.3845181707560714	0.8116859783236564
quality_materials	0.1926084301905924	0.04825965663520153	0.0493614558514818	0.13066994150483757	0.14434770900759375	-0.050247171652720864	3.19535459519799	0.8857300152703309
interdisciplinary	0.08971774718099326	0.6634329420561526	-0.03419589734779636	0.18515010714439284	-0.0056633183795374575	-0.0726867089671099	1.226079757829616	0.48191374372212614
projects_primary	-0.09662262092640722	0.6588172288317148	0.016036226151625185	0.013195701704526077	0.008329652420230135	0.09885256229180588	1.0913353363547325	0.5350558818485851
local_global	0.2001048486952486	0.6340746867146707	0.02993088100327207	-0.15437997385574276	-0.05936840737784816	0.04119873939633808	1.360081339636262	0.5047419165283195
design_thinking	-0.03973771607100543	0.5865770912534932	-0.029303627043573442	-0.017092200922217797	0.2678135926437453	0.02496647057118251	1.4221726785620643	0.5854226392149812
service_learning	-3.682904039137465e-4	0.5679809969044904	0.15370436939110327	-0.07748283400221585	0.13773207799472975	-0.023239275971252117	1.3157767742721729	0.5994887563864703
exhibitions	0.06212130392845277	0.5414958618419202	0.07953394645621141	0.21997574552184113	-0.17651169820607351	0.04741488788857036	1.6606391904336997	0.5243314835303169
real_world	0.11101977306463374	0.53818248925017	0.08454365345901982	0.23755593556159801	-0.08674588075452735	-0.04507347671382683	1.6109695009691014	0.5385464364639823
portfolios	-0.019996476068637317	0.4964771030830439	-0.08982983780918999	0.4445010937545372	-0.03395793001246456	0.032731445313274043	2.0709409719594487	0.5017415922305517
student_projects	0.04570697988162648	0.4856093250959401	0.16295143191486264	0.10439077967539442	0.013439440538852723	-0.042249111880675594	1.3626201008584164	0.6501835812686568
pbl	-0.14200945586711156	0.4558380293584885	0.1765611009887675	0.14197953133248245	-0.15137751696347712	0.23454828393267496	2.6303110522539304	0.5508542553998574
local_focus	0.4068832075551612	0.43132080888105107	0.018338189151964633	-0.07320698466854825	-0.060081517073104135	-0.05808561453020594	2.137753389308419	0.6118680226405164
maker	-0.13668858940527617	0.38105691267367414	0.08625468795532766	-0.10954145961137281	0.11918913720432908	0.35363574014871296	2.776994057945044	0.6651656704862109
